Aafrika	Africa
Kategooria:Okinawa prefektuur	Category:Okinawa Prefecture
Kategooria:Provintsid	Category:Provinces
Mall:Kriips	Template:Steady
Gustav Aarestrup	Gustav Aarestrup
Gustav Ernesaks (tõstja)	Gustav Ernesaks (weightlifter)
Mall:Riik	Template:Infobox country
Melluži	Melluži
Mall:Max	Template:Max
Mall:Tarkvara	Template:Infobox software
Gustav Heinrich von Wetter-Rosenthal	Gustave Rosenthal
Mall:Lennufirma	Template:Infobox airline
Mall:Panoraam	Template:Wide image
Mall:Lennuõnnetus	Template:Infobox aircraft occurrence
Mall:Sõjaline konflikt	Template:Infobox military conflict
Mall:Str left	Template:Str left
Mall:Korras	Template:Done
Mall:Str sub	Template:Str sub old
Mall:Audio	Template:Audio
Mall:Kasutaja:Administraator-üla	Template:Administrator topicon
Kategooria:Keelpillid	Category:String instruments
Mall:USAasepresident	Template:US Vice Presidents
Mall:Userboxtop	Template:Userboxtop
Mall:Partei	Template:Infobox political party
Juhend:Õppekäik (Lingid)	Wikipedia:Tutorial/Wikipedia links
Kategooria:Euroopa jalgpallikoondised	Category:European national association football teams
Mall:Pooleli peatükk	Template:Expand section
Mall:Navmall veergudega	Template:Navbox with columns
Mall:Arvutimäng	Template:Infobox video game
Mall:Algus	Template:S-start
Kategooria:Prantsusmaa haldusjaotus	Category:Subdivisions of France
Kategooria:Venemaa ülikoolid	Category:Universities in Russia
Kategooria:Filmiprodutsendid	Category:Film producers
Mall:Olümpiamängude medalitabelid	Template:Olympic Games medal table
Kategooria:Suurbritannia haldusjaotus	Category:Subdivisions of the United Kingdom
Mall:Lse	Template:London Stock Exchange
Mall:Windows	Template:Microsoft Windows family
Kategooria:Asulad	Category:Populated places
Mall:Teadlane	Template:Infobox scientist
Mall:Infokast ülikool	Template:Infobox university
Mall:Muusikute navigeerimismall	Template:Navbox musical artist
Mall:Cite journal	Template:Cite journal
Mall:Ettevõte	Template:Infobox company
Mall:Vikiõpikutes	Template:Wikibooks
Mall:Dablink	Template:Hatnote
Kategooria:Õnnemängud	Category:Gambling
Kategooria:Sotsiaaldemokraatlikud parteid	Category:Social democratic parties
Kategooria:Ankara	Category:Ankara
Mall:Cite news	Template:Cite news
Kategooria:Muusikaharidus	Category:Music education
Kategooria:Virginia linnad	Category:Cities in Virginia
Mall:SuurSugupuu	Template:Family tree
Mall:Asendikaart	Template:Location map
Mall:Egiptus	Template:Governorates of Egypt
Mall:Eeskujulikud artiklid	Template:Featured article
Kategooria:Sündinud 1875	Category:1875 births
Kategooria:Sündinud 1856	Category:1856 births
Mall:Turniiritabel4	Template:Round4
Portaal:Box-header	Template:Box-header
Mall:Rndnear	Template:Rndnear
Kategooria:Ghana	Category:Ghana
Kategooria:Vahemeri	Category:Mediterranean Sea
Kategooria:Pariis	Category:Paris
Kategooria:User en-4	Category:User en-4
Kategooria:Budapest	Category:Budapest
Kategooria:Togo	Category:Togo
Kategooria:User en	Category:User en
Kategooria:User zh	Category:User zh
Mall:Infokast autasu	Template:Infobox award
Kategooria:Horvaatia	Category:Croatia
Kategooria:User zh-N	Category:User zh-N
Kategooria:User en-2	Category:User en-2
Kategooria:Muusikateosed	Category:Musical compositions
Mall:Infokast börs	Template:Infobox exchange
Mall:Infokast	Template:Infobox
Mall:Muusikainstrument	Template:Infobox instrument
Mall:IRN	Template:Provinces of Iran
Mall:Sisukord paremale	Template:TOC right
Mall:Vikipeedias alates	Template:User Wikipedian for
Kategooria:Surnud 1902	Category:1902 deaths
Gārsene mõis	Gārsene Manor
Mall:Reastatud medalitabel	Template:RankedMedalTable
Mall:Str crop	Template:Str crop
Mall:User zh	Template:User zh
Kategooria:Prantsusmaa monarhid	Category:Kings of France
Mall:Jalgpallikoondis	Template:Infobox national football team
Holsteen	HDMS Holsteen
Kategooria:Tähestikud	Category:Alphabets
Kategooria:Ajalugu riigiti	Category:History by country
Start (lennuk)	HNoMS Start
Kategooria:Iisraeli peaministrid	Category:Prime Ministers of Israel
Kategooria:Itaalia peaministrid	Category:Prime Ministers of Italy
Mall:Legend	Template:Legend
Kategooria:Räpparid	Category:Rappers
Kategooria:Suurbritannia kirjanikud	Category:British writers
Haanja Kõverjärv	Haanja Kõverjärv
Haapsalu linnastaadion	Haapsalu linnastaadion
Kategooria:Kreeka peaministrid	Category:Prime Ministers of Greece
Kategooria:Türgi peaministrid	Category:Prime Ministers of Turkey
Kategooria:Hispaania peaministrid	Category:Prime Ministers of Spain
Kategooria:Portugali peaministrid	Category:Prime Ministers of Portugal
Mall:JalgpalliMM	Template:FIFA World Cup
Kategooria:Norra peaministrid	Category:Prime Ministers of Norway
Mall:Netiviide	Template:Cite web
Mall:Valitud sündmused/veebruar/8	Wikipedia:Selected anniversaries/February 8
Mall:Muutuv sündmus	Template:Current
Haide-Ene Rebassoo	Haide-Ene Rebassoo
Kategooria:Sõjatehnika	Category:Military equipment
Kategooria:Jalgpalliauhinnad	Category:Association football trophies and awards
Kategooria:Tõenäosusteooria	Category:Probability theory
Mall:Premjer Liga klubid	Template:Russian Premier League
Kategooria:Biograafia	Category:Biography
Mall:Ombox	Template:Ombox
Mall:Imdb nimi	Template:IMDb title
Kategooria:Skandinaavia ajalugu	Category:Scandinavian history
Kategooria:Tšehhi peaministrid	Category:Prime Ministers of the Czech Republic
Kategooria:Soome peaministrid	Category:Prime Ministers of Finland
Mall:Eurovisiooni riik	Template:Infobox song contest country
Mall:Cc-by-2.5	Template:Cc-by-2.5
Kategooria:Lennundus	Category:Aviation
Kategooria:Austraalia filminäitlejad	Category:Australian film actors
Kategooria:Telesarjad riigiti	Category:Television series by country
Mall:NBA	Template:National Basketball Association
Kategooria:Kategooriad riigiti	Category:Categories by country
Vikipeedia:Arutelulehekülg	Wikipedia:Talk page guidelines
Mall:Extra kronoloogia 2	Template:Extra chronology
Mall:Rahvusvaheline jalgpall	Template:International football
Kategooria:Katoliku pühakud	Category:Roman Catholic saints
Kategooria:Nimed	Category:Names
Haljand Udam	Haljand Udam
Mall:User ru-4	Template:User ru-4
Kategooria:Koomiksitegelased	Category:Comics characters
Kategooria:Orel	Category:Organs (music)
Kategooria:Rostovi oblasti linnad	Category:Cities and towns in Rostov Oblast
Mall:ARG	Template:Provinces of Argentina
Kategooria:Muusikateadlased	Category:Musicologists
Kategooria:Türgi linnad	Category:Cities in Turkey
Mall:GeoTemplate	Template:GeoTemplate
Hamleti duell	Hamlet (1900 film)
Kategooria:Ajakirjad	Category:Magazines
Mall:Coor URL	Template:Coor URL
Mall:Info	Template:Notice
Kategooria:Paavstid	Category:Popes
Kategooria:Ehitus	Category:Construction
Mall:K-mall	Template:Pp-template
Kategooria:Harry Potter	Category:Harry Potter
Mall:·	Template:·
Mall:SIprefiksid	Template:SI prefixes (infobox)
Kategooria:Hollandi ajalugu	Category:History of the Netherlands
Kategooria:Laskesuusatajad	Category:Biathletes
Mall:User nl-1	Template:User nl-1
Kategooria:Korvpalliklubid	Category:Basketball teams
Kategooria:Thriller	Category:Thriller films
Kategooria:Colombia departemangud	Category:Departments of Colombia
Hando Ruus	Hando Ruus
Hanila muuseum	Hanila museum
Kategooria:Sümboolika	Category:Symbolism
Kategooria:Guernsey	Category:Guernsey
Mall:Min	Template:Min
Mall:Vahsisse	Template:Subon
Hannah	Hannah Ild
Kategooria:Venemaa sõjaväelased	Category:Russian military personnel
Kategooria:Jumalad	Category:Deities
Mall:Vikisõnastikus	Template:Wiktionary
Kategooria:Maadlejad	Category:Wrestlers
Mall:Wikipediholic	Template:User Wikipediholic
Kategooria:Venemaa pedagoogid	Category:Russian educationists
Kategooria:Laulukirjutajad	Category:Songwriters
Kategooria:Roosõielised	Category:Rosaceae
Mall:User nl-2	Template:User nl-2
Hans Leesment	Hans Leesment
Mall:Multi-listen start	Template:Multi-listen start
Kategooria:Välisministrid	Category:Foreign ministers
Happy José (Ching Ching)	Happy José (Ching Ching)
Mall:User sah	Template:User sah
Kategooria:Teatrilavastajad	Category:Theatre directors
Kategooria:Alabama linnad	Category:Cities in Alabama
Kategooria:Guyana peaministrid	Category:Prime Ministers of Guyana
Harald Nugiseks	Harald Nugiseks
Kategooria:Vapid	Category:Coats of arms
Kategooria:Taani linnad	Category:Cities and towns in Denmark
Mall:Teisaldada Vikitekstidesse	Template:Copy to Wikisource
Kategooria:Kakulised	Category:Owls
Hardap	Hardap, Namibia
Hardluck	Hardluck, Nevada
Kategooria:Peaaju	Category:Brain
Mall:Muusikute diskograafia	Template:Infobox artist discography
Harish Nagpal	Harish Nagpal
Kategooria:Põllumajandus	Category:Agriculture
Kategooria:Holokaust	Category:The Holocaust
Kategooria:Kasahstani linnad	Category:Cities and towns in Kazakhstan
Kategooria:Kasahstani geograafia	Category:Geography of Kazakhstan
Kategooria:Ameerika Ühendriikide keemikud	Category:American chemists
Kategooria:Venemaa keemikud	Category:Russian chemists
Kategooria:Aserbaidžaani poliitika	Category:Politics of Azerbaijan
Kategooria:Taani teadlased	Category:Danish scientists
Kategooria:Rootsi teadlased	Category:Swedish scientists
Kategooria:Hollandi keemikud	Category:Dutch chemists
Kategooria:Taani keemikud	Category:Danish chemists
Kategooria:Küprose inimesed	Category:Cypriot people
Kategooria:Kasahstani inimesed	Category:Kazakhstani people
Kategooria:Veetransport	Category:Water transport
Kategooria:Küprose poliitika	Category:Politics of Cyprus
Kategooria:Kreeka teadlased	Category:Greek scientists
Kategooria:Iisraeli teadlased	Category:Israeli scientists
Kategooria:Nicaragua presidendid	Category:Presidents of Nicaragua
Kategooria:Küprose poliitikud	Category:Cypriot politicians
Kategooria:Küprose presidendid	Category:Presidents of Cyprus
Kategooria:Õisloomad	Category:Anthozoa
Kategooria:Karikloomad	Category:Scyphozoa
Kategooria:India filmid	Category:Indian films
Allieae	Allieae
Kategooria:Mikrobioloogia	Category:Microbiology
Mall:Kuldne värav	Template:Golden goal
Mall:CHI	Template:Regions of Chile
Kategooria:Kasahstani jõed	Category:Rivers of Kazakhstan
Kategooria:Suurbritannia muuseumid	Category:Museums in the United Kingdom
Kategooria:Itaalia muuseumid	Category:Museums in Italy
Kategooria:Inglise keemikud	Category:English chemists
Ana Jara	Ana Jara
Kategooria:Austria monarhid	Category:Rulers of Austria
Mall:KOR	Template:Regions and administrative divisions of South Korea
Kategooria:Massachusettsi linnad	Category:Cities in Massachusetts
Kategooria:Arhiivid	Category:Archives
Mall:SeitseMaailmaimet	Template:Seven Wonders of the Ancient World
Kategooria:Põõsalindlased	Category:Sylviidae
Astelpaju (perekond)	Hippophae
Head uudised	Head uudised
Heiki Valk	Heiki Valk
Heiko Niidas	Heiko Niidas
Heino Hankewitz	Heino Hankewitz
Heinrich-Donatus	Heinrich Donatus, Hereditary Prince of Schaumburg-Lippe
Heinrich IV (Reußi prints)	Heinrich IV, Prince Reuss of Köstritz
Heinz Schulz	Heinz Schulz
Helen Tobias-Duesberg	Helen Tobias-Duesberg
Helga Kurm	Helga Kurm
Helge Uuetoa	Helge Uuetoa
Helle Meri	Helle Meri
Helmut Maandi	Helmut Maandi
Hemlock Society	Hemlock Society
Henk Quentemeijer	Hennie Quentemeijer
Heinrich von Rehbinder	Henrik von Rehbinder
Kategooria:Kvantmehaanika	Category:Quantum mechanics
Kategooria:Avalik haldus	Category:Public administration
Forest	Forest (disambiguation)
Sidrunhein	Cymbopogon
G-duur	G major
Henry W. Antheil	Henry W. Antheil, Jr.
Kaltinėnai	Kaltinėnai
E-hepatiidi viirus	Hepatitis E virus
Herb Aach	Herb Aach
Kalkūni	Kalkūni, Latvia
Kategooria:Keenia asulad	Category:Populated places in Kenya
Herbert W. Marsh	Herbert W. Marsh
Herman Willoch	Herman Willoch
Kategooria:Presidendid	Category:Presidents
Kategooria:Mäed	Category:Mountains
Kategooria:Kõrgkoolid	Category:Universities and colleges
Mall:User ru	Template:User ru
Kategooria:20. sajand	Category:20th century
Mall:IPA	Template:IPA
Kategooria:Poliitikud	Category:Politicians
Kategooria:Päikesesüsteemi planeedid	Category:Planets of the Solar System
Kategooria:Ameerika	Category:Americas
Mall:Uue Testamendi raamatud	Template:Books of the New Testament
Hiired tuules	Hiired tuules
Hiired tuules (Dagö)	Hiired tuules (album)
Hilba järv	Hilba
Hillar Muidar Rootare	Hillar Rootare
Hillar Aarelaid	Hillar Aarelaid
Jaundubulti	Jaundubulti
Lielstraupe loss	Lielstraupe Castle
Zelmeņi	Zelmeņi
Hindrek Kesler	Hindrek Kesler
Hinduism Eestis	Hinduism in Estonia
Mall:See artikkel	Template:About
Hinemoa (film 1913)	Hinemoa (1913 film)
Hingede öö	Hingede öö
Hiromi Shinya	Hiromi Shinya
Hirvepargi miiting	Hirvepark meeting
Han Hendrik Piho	Han Hendrik Piho
Onn	Hut
Sven Ove Hansson	Sven Ove Hansson
César Villanueva	César Villanueva
Rahvuslik Trükimuuseum	National Print Museum
Mall:Pealkiri kaldkirjas	Template:Italic title
Tribune'i vald	Tribune Township, Greeley County, Kansas
Samsung Galaxy S4	Samsung Galaxy S4
Kategooria:Turvalisus	Category:Security
Délfor Dicásolo	Délfor Dicásolo
Gunnar Hultgren	Gunnar Hultgren
Mall:GFDL	Template:GFDL
Kategooria:Nobeli rahuauhinna laureaadid	Category:Nobel Peace Prize laureates
Kategooria:Väeüksused	Category:Military units and formations
Kategooria:Inimesed riigiti	Category:People by nationality
Kategooria:Bütsants	Category:Byzantine Empire
Kategooria:Palestiina	Category:Palestine
Kategooria:Tõlkijad	Category:Translators
Kategooria:Hiina-Tiibeti keeled	Category:Sino-Tibetan languages
Mall:USApresident	Template:US Presidents
Kategooria:Sloveenia poliitikud	Category:Slovenian politicians
Gorki	Gorki
Kategooria:Kasutajalehekülgede keeleoskuse mallid	Category:Language user templates
Substraat (ökoloogia)	Substrate (biology)
Kategooria:Washingtoni osariik	Category:Washington (state)
Kategooria:Müütilised loomad	Category:Legendary creatures
Kategooria:Maroko linnad	Category:Cities in Morocco
Kategooria:Vanakreeka jumalad	Category:Greek deities
Mall:Mägi	Template:Infobox mountain
Mall:Sünniaeg ja vanus	Template:Birth date and age
Kategooria:Itaalia ehitised	Category:Buildings and structures in Italy
Mall:Infokast etniline grupp	Template:Infobox ethnic group
Mall:Arhiiv	Template:Archive box
Kategooria:Mõõtühikud	Category:Units of measurement
Kategooria:Haugaslased	Category:Accipitridae
Mall:KuuKalenderAlgusL	Template:Calendar/isoMonthStartSat
Vikipeedia:GNU FDL	Wikipedia:Text of the GNU Free Documentation License
Mall:Itaalia	Template:Regions of Italy
Mall:Commonsi kategooria-tekstina	Template:Commons category-inline
Kategooria:Sugulaskeelteta keeled	Category:Language isolates
Vikipeedia:Vikiprojekt Muusika	Wikipedia:WikiProject Music
Mall:Sisterproject	Template:Sister project links
Kategooria:Revolutsionäärid	Category:Revolutionaries
Mall:JärjestaNimi	Template:Sortname
Mall:Korvpallur	Template:Infobox basketball biography
Kategooria:Venemaa aadlisuguvõsad	Category:Russian noble families
Mall:Cc-by-sa-2.5	Template:Cc-by-sa-2.5
Kategooria:Hispaania autonoomsed piirkonnad	Category:Autonomous communities of Spain
Mall:User eo-4	Template:User eo-4
Mall:Surmaaeg ja vanus	Template:Death date and age
Kategooria:Mereröövlid	Category:Piracy
Kategooria:Sündinud 1879	Category:1879 births
Mall:Tõlkimine/Ref	Template:Translation/Ref
Mall:LTU	Template:Counties of Lithuania
Kategooria:Sündinud 1955	Category:1955 births
Kategooria:Sotsiaalsed võrgustikud	Category:Social networks
Kategooria:Sündinud 1823	Category:1823 births
Kategooria:Sündinud 1963	Category:1963 births
Mall:Taksoboksi värvus	Template:Taxobox colour
Kategooria:Riikide sümboolika mallid	Category:Country data templates
Mall:Namespace detect	Template:Namespace detect
Kategooria:Värvused	Category:Colors
Mall:AO-US-Keskv	Template:PD-USGov
Kategooria:Ameerika Ühendriikide filminäitlejad	Category:American film actors
Kategooria:Surnud 1884	Category:1884 deaths
Kategooria:Surnud 1875	Category:1875 deaths
Kategooria:Sündinud 1868	Category:1868 births
Kategooria:Sündinud 1812	Category:1812 births
Kategooria:Sündinud 1817	Category:1817 births
Kategooria:Sündinud 1837	Category:1837 births
Kategooria:Surnud 1863	Category:1863 deaths
Kategooria:Sündinud 1829	Category:1829 births
Kategooria:Sündinud 1998	Category:1998 births
Kategooria:Surnud 1802	Category:1802 deaths
Kategooria:Juudid	Category:Jews
Kategooria:Surnud 1801	Category:1801 deaths
Kategooria:Surnud 1718	Category:1718 deaths
Kategooria:Surnud 1492	Category:1492 deaths
Kategooria:Sündinud 1834	Category:1834 births
Kategooria:Surnud 1729	Category:1729 deaths
Kategooria:Surnud 1498	Category:1498 deaths
Kategooria:Surnud 1433	Category:1433 deaths
Kategooria:Surnud 1457	Category:1457 deaths
Kategooria:Surnud 1435	Category:1435 deaths
Kategooria:Surnud 1461	Category:1461 deaths
Kategooria:Surnud 1720	Category:1720 deaths
Kategooria:Surnud 1408	Category:1408 deaths
Kategooria:Surnud 1497	Category:1497 deaths
Kategooria:Surnud 1429	Category:1429 deaths
Kategooria:Surnud 1430	Category:1430 deaths
Kategooria:Surnud 1508	Category:1508 deaths
Kategooria:Surnud 1499	Category:1499 deaths
Kategooria:Surnud 1455	Category:1455 deaths
Kategooria:Surnud 1156	Category:1156 deaths
Kategooria:Surnud 1417	Category:1417 deaths
Kategooria:Surnud 1490	Category:1490 deaths
Kategooria:Surnud 1080	Category:1080 deaths
Mall:Asendikaart Venemaa (Euroopa)	Template:Location map European Russia
Kategooria:Lipud riigiti	Category:Flags by country
Kategooria:Surnud 1764	Category:1764 deaths
Mall:KIA	Template:KIA
Mall:Paavstid	Template:Popes
Kategooria:Surnud 1434	Category:1434 deaths
Mall:Koord eksport	Template:GeoGroup
Kategooria:Malpiigialaadsed	Category:Malpighiales
Mall:Okeaaniariigid	Template:Countries and territories of Oceania
Kategooria:19. sajand	Category:19th century
Kategooria:Kirjanikud	Category:Writers
Mall:Mahakirjutatud	Template:Copyvio
Kategooria:Viiuldajad	Category:Violinists
Kategooria:Polaaruurijad	Category:Polar explorers
Kategooria:Sõjandus	Category:Military
Mall:Kol	Template:Yel
Mall:Keel-cz	Template:Lang-cs
Mall:GER	Template:States of the Federal Republic of Germany
Sotsiaalne tõrjutus	Social exclusion
Kategooria:Valga kreis	Category:Kreis Walk
Kategooria:Võnnu kreis	Category:Kreis Wenden
Kategooria:Volmari kreis	Category:Kreis Wolmar
Mall:Keel-he	Template:Lang-he
Kategooria:Püstolid	Category:Pistols
Mall:OS info	Template:Infobox OS
Mall:Infokast arvuti riistvara	Template:Infobox computer hardware
Mall:Koer	Template:Infobox dog breed
Mall:Tõus	Template:Increase
